Order ID,Order Date,Order Hour,City,Customer ID,Customer Age,Payment Method,Cuisine,Restaurant Name,Restaurant Rating,Quantity,Unit Price,Discount (PKR),Subtotal,Revenue,Promised Time (min),Delivery Time (min),Prep Time (min),Delivery Fee,Total Paid,Delivery Partner,Delivery Status
16,13-12-2024,13,Faisalabad,95571,41,Wallet,Pizza,Karahi King,4.1,3,1118.98,0,3356.94,3356.94,59,63.0,23,67.19,3424.13,Rider E,Late
17,07-12-2024,14,Faisalabad,56867,17,Wallet,Pizza,BBQ Fsd,4.8,4,522.21,100,2088.84,1988.84,54,38.0,39,59.58,2048.42,Rider F,On-Time
18,17-03-2024,20,Lahore,55848,42,Cash,Sandwich,BBQ Fort,4.2,3,1046.25,250,3138.75,2888.75,63,66.0,37,82.24,2970.99,Rider A,Late
19,21-02-2024,23,Peshawar,58491,21,Card,Pasta,BBQ Shinwari,4.9,5,1372.18,200,6860.9,6660.9,63,69.0,41,89.68,6750.58,Rider A,Late
20,15-01-2024,22,Islamabad,50278,23,Card,Fast Food,Pakhtoon Desi,4.8,1,2471.26,200,2471.26,2271.26,69,,29,90.37,2361.63,Rider C,Late
21,15-11-2024,21,Faisalabad,11520,58,Cash,Pizza,China Hut,3.6,4,1250.29,0,5001.16,5001.16,33,30.0,10,136.04,5137.2,Rider F,On-Time
22,09-07-2024,23,Multan,94804,24,Cash,BBQ,Desi Maza,5.0,4,947.99,150,3791.96,3641.96,45,38.0,25,171.38,3813.34,Rider B,On-Time
23,12-09-2024,23,Quetta,41048,55,Cash,Chinese,Zafran Biryani,3.7,3,1091.16,250,3273.48,3023.48,36,43.0,32,153.44,3176.92,Rider D,Late
24,22-05-2024,22,Rawalpindi,79517,51,Cash,Sandwich,Pindi Pizza,4.3,1,1757.53,0,1757.53,1757.53,60,63.0,18,89.77,1847.3,Rider D,Late
25,20-09-2024,23,Lahore,48239,41,Cash,Fast Food,Wok & Roll,4.9,1,2486.0,200,2486.0,2286.0,41,63.0,30,116.42,2402.42,Rider A,Late
26,16-03-2024,13,Karachi,28249,60,Cash,Burger,Biryani Boss,4.8,2,1469.88,200,2939.76,2739.76,55,74.0,42,187.11,2926.87,Rider B,Late
27,26-10-2024,11,Karachi,30198,59,Cash,Pasta,Biryani Boss,4.5,1,2410.73,50,2410.73,2360.73,38,50.0,19,184.34,2545.07,Rider A,Late
28,09-06-2024,18,Peshawar,31892,36,Wallet,Chinese,BBQ Shinwari,3.8,3,2439.31,150,7317.93,7167.93,38,34.0,12,187.37,7355.3,Rider B,On-Time
29,09-06-2024,21,Islamabad,58201,43,Cash,Fast Food,Pakhtoon Desi,4.1,1,1886.01,50,1886.01,1836.01,43,25.0,39,76.57,1912.58,Rider F,On-Time
30,08-04-2024,21,Multan,84006,60,Wallet,Desi,Wok City,3.9,4,2082.49,0,8329.96,8329.96,61,70.0,10,158.7,8488.66,Rider B,Late
31,20-11-2024,10,Multan,25652,38,Cash,Desi,BBQ Multan,4.9,1,649.4,50,649.4,599.4,55,61.0,37,94.95,694.35,Rider A,Late
32,10-01-2024,19,,96950,68,Card,Biryani,Fsd Slice,4.5,4,827.86,50,3311.44,3261.44,44,39.0,24,182.66,3444.1,Rider C,On-Time
33,06-02-2024,20,Rawalpindi,54356,57,Cash,Pizza,Desi Junction,3.6,2,2195.83,250,4391.66,4141.66,32,33.0,43,159.77,4301.43,Rider E,Late
34,29-11-2024,23,Faisalabad,25717,23,Card,Thai,Karahi King,4.0,3,1863.77,0,5591.31,5591.31,58,50.0,24,117.48,5708.79,Rider F,On-Time
35,07-06-2024,22,Lahore,51739,27,Wallet,Chinese,Haveli Grill,4.0,4,1826.67,50,7306.68,7256.68,59,30.0,35,193.33,7450.01,Rider E,On-Time
36,24-05-2024,21,Rawalpindi,86973,56,Wallet,Chinese,Rajju Biryani,4.5,3,688.37,0,2065.11,2065.11,43,35.0,19,89.57,2154.68,Rider A,On-Time
37,08-06-2024,11,Lahore,87741,43,Card,Fast Food,BBQ Fort,5.0,4,1470.25,100,5881.0,5781.0,68,85.0,17,181.6,5962.6,Rider E,Late
38,09-07-2024,13,Lahore,41810,44,Card,Biryani,Wok & Roll,4.4,4,2388.16,100,9552.64,9452.64,69,76.0,34,115.51,9568.15,Rider C,Late
39,15-08-2024,21,Rawalpindi,46799,18,Card,Desi,Rajju Biryani,4.8,4,2283.47,250,9133.88,8883.88,66,53.0,30,75.59,8959.47,Rider C,On-Time
40,12-03-2024,9,Lahore,92775,66,Card,Biryani,Wok & Roll,4.7,3,2068.67,250,6206.01,5956.01,31,32.0,39,177.65,6133.66,Rider C,Late
41,21-09-2024,17,Quetta,21718,24,Card,Sandwich,Great Wall Quetta,3.6,4,1646.92,0,6587.68,6587.68,60,56.0,38,62.41,6650.09,Rider F,On-Time
42,11-12-2024,13,Multan,69542,30,Card,BBQ,Sohan Biryani,4.0,3,1755.08,100,5265.24,5165.24,55,76.0,13,123.87,5289.11,Rider F,Late
43,31-07-2024,18,Karachi,90269,65,Card,BBQ,BBQ Central,3.6,3,2221.88,50,6665.64,6615.64,59,65.0,32,50.39,6666.03,Rider F,Late
44,19-09-2024,12,Karachi,40979,49,Cash,Biryani,Desi Dastarkhwan,4.3,4,2473.19,0,9892.76,9892.76,35,15.0,43,67.13,9959.89,Rider A,On-Time
45,26-02-2024,23,Rawalpindi,43968,37,Card,Pasta,Pindi Pizza,3.8,2,2432.13,100,4864.26,4764.26,49,36.0,21,147.21,4911.47,Rider D,On-Time
46,11-12-2024,11,Rawalpindi,43810,28,Card,Sandwich,Rajju Biryani,4.7,2,2414.7,150,4829.4,4679.4,62,61.0,38,100.76,4780.16,Rider E,On-Time
47,08-04-2024,14,Quetta,85655,49,Cash,Biryani,BBQ Quetta,4.5,1,373.22,0,373.22,373.22,41,57.0,15,72.32,445.54,Rider E,Late
48,04-08-2024,16,Karachi,15293,60,Card,Desi,BBQ Central,4.1,2,1205.25,50,2410.5,2360.5,30,22.0,31,172.54,2533.04,Rider B,On-Time
49,18-01-2024,17,Lahore,51000,18,Cash,BBQ,Lhr Crust,3.6,4,625.61,100,2502.44,2402.44,52,50.0,42,62.0,2464.44,Rider E,On-Time
50,04-06-2024,14,Faisalabad,78613,67,Cash,Biryani,Desi Square,3.8,2,2367.19,0,4734.38,4734.38,61,61.0,41,42.17,4776.55,Rider E,On-Time
51,24-06-2024,18,Islamabad,66964,35,Cash,Desi,Smokey Hills,3.8,3,1940.29,0,5820.87,5820.87,45,39.0,27,56.65,5877.52,Rider D,On-Time
52,08-02-2024,23,Lahore,31914,64,Cash,BBQ,BBQ Fort,3.8,3,1489.45,0,4468.35,4468.35,60,86.0,33,115.86,4584.21,Rider C,Late
53,27-11-2024,15,Rawalpindi,28667,48,Cash,Burger,Desi Junction,4.4,4,524.59,0,2098.36,2098.36,60,74.0,38,94.88,2193.24,Rider A,Late
54,11-10-2024,11,Rawalpindi,33860,43,Cash,Fast Food,Smokey Pindi,4.0,1,1341.19,0,1341.19,1341.19,54,54.0,31,58.83,1400.02,Rider A,On-Time
55,22-06-2024,9,Multan,38145,16,Card,Pizza,Wok City,4.0,5,2285.29,100,11426.45,11326.45,52,41.0,16,63.91,11390.36,Rider F,On-Time
56,05-11-2024,20,Multan,88343,33,Card,Fast Food,Desi Maza,4.3,5,566.81,100,2834.05,2734.05,32,15.0,43,75.58,2809.63,Rider A,On-Time
57,18-05-2024,15,Karachi,80999,61,Card,Desi,Khi Slice,4.1,2,1850.99,0,3701.98,3701.98,63,59.0,15,156.78,3858.76,Rider D,On-Time
58,21-10-2024,15,Peshawar,87363,18,Card,Fast Food,Shinwari Pizza,4.5,4,1333.93,0,5335.72,5335.72,38,46.0,25,173.21,5508.93,Rider E,Late
59,01-06-2024,11,Faisalabad,19407,24,Wallet,Biryani,BBQ Fsd,3.6,3,2346.06,200,7038.18,6838.18,32,38.0,10,59.86,6898.04,Rider B,Late
60,05-09-2024,21,Peshawar,10334,30,Cash,Burger,BBQ Shinwari,4.2,1,1443.78,0,1443.78,1443.78,64,58.0,19,112.89,1556.67,Rider D,On-Time
61,19-01-2024,14,Faisalabad,73251,50,Cash,Pizza,Fsd Slice,3.6,5,489.08,150,2445.4,2295.4,36,33.0,35,175.61,2471.01,Rider D,On-Time
62,04-12-2024,11,Rawalpindi,73776,49,Wallet,Sandwich,Smokey Pindi,4.2,3,1630.68,0,4892.04,4892.04,34,24.0,20,154.17,5046.21,Rider B,On-Time
63,09-05-2024,21,Peshawar,93628,16,Card,Sandwich,Qissa Biryani,4.9,4,1847.88,50,7391.52,7341.52,46,50.0,20,113.42,7454.94,Rider A,Late
64,13-11-2024,11,Lahore,43231,69,Wallet,Burger,BBQ Fort,4.7,4,569.85,50,2279.4,2229.4,39,46.0,33,142.27,2371.67,Rider E,Late
65,19-04-2024,15,Multan,47998,55,Wallet,Pasta,Sohan Biryani,5.0,4,1431.83,100,5727.32,5627.32,57,58.0,44,191.93,5819.25,Rider C,Late
66,10-03-2024,11,Quetta,52464,25,Card,Fast Food,BBQ Quetta,4.5,2,1705.37,0,3410.74,3410.74,49,64.0,36,184.34,3595.08,Rider B,Late
67,23-08-2024,10,Faisalabad,23538,26,Wallet,Biryani,Fsd Slice,4.4,1,2431.01,50,2431.01,2381.01,34,44.0,13,195.39,2576.4,Rider B,Late
68,13-10-2024,20,Multan,30976,61,Wallet,Thai,Multan Melt,4.9,1,1727.77,0,1727.77,1727.77,32,38.0,39,147.2,1874.97,Rider E,Late
69,12-06-2024,11,Rawalpindi,41884,20,Cash,Biryani,Smokey Pindi,4.2,4,1327.33,0,5309.32,5309.32,40,17.0,27,116.49,5425.81,Rider A,On-Time
70,29-03-2024,15,Islamabad,92144,22,Wallet,Pizza,Isb Pie,4.0,1,356.82,0,356.82,356.82,41,44.0,44,141.03,497.85,Rider F,Late
71,22-11-2024,13,Lahore,89711,28,Cash,Pizza,Haveli Grill,4.5,5,921.73,250,4608.65,4358.65,51,44.0,19,137.28,4495.93,Rider D,On-Time
72,17-04-2024,15,Rawalpindi,31260,28,Cash,BBQ,Smokey Pindi,4.0,2,1507.5,100,3015.0,2915.0,63,53.0,22,196.03,3111.03,Rider C,On-Time
73,05-12-2024,9,Faisalabad,82412,42,Cash,BBQ,Fsd Slice,4.0,4,2297.54,250,9190.16,8940.16,60,51.0,30,115.16,9055.32,Rider C,On-Time
74,21-06-2024,10,Peshawar,51975,24,Cash,Pasta,Desi Khyber,5.0,3,352.75,250,1058.25,808.25,68,45.0,38,97.11,905.36,Rider D,On-Time
75,17-06-2024,14,Karachi,32596,27,Cash,Biryani,Biryani Boss,3.5,5,876.9,50,4384.5,4334.5,38,15.0,23,41.31,4375.81,Rider B,On-Time
76,30-11-2024,20,Peshawar,41427,47,Wallet,Thai,Qissa Biryani,5.0,1,346.18,0,346.18,346.18,32,,34,112.38,458.56,Rider E,Late
77,29-02-2024,19,Lahore,36968,33,Cash,Chinese,Lhr Crust,3.6,5,756.74,0,3783.7,3783.7,42,46.0,29,107.2,3890.9,Rider D,Late
78,07-03-2024,12,Karachi,95078,18,Wallet,Biryani,Desi Dastarkhwan,3.7,1,767.44,0,767.44,767.44,33,30.0,12,171.79,939.23,Rider A,On-Time
79,19-06-2024,12,Karachi,64935,57,Wallet,Biryani,Desi Dastarkhwan,3.7,3,1796.97,50,5390.91,5340.91,51,,28,188.59,5529.5,Rider E,Late
80,28-12-2024,9,Multan,18446,28,Cash,Desi,Desi Maza,3.5,2,1549.33,200,3098.66,2898.66,49,41.0,16,106.46,3005.12,Rider D,On-Time
81,20-08-2024,18,Peshawar,85166,34,Wallet,Fast Food,Khyber Wok,4.3,1,1946.35,0,1946.35,1946.35,41,41.0,14,45.35,1991.7,Rider D,On-Time
82,22-03-2024,23,Islamabad,93437,38,Cash,Pasta,Dragon Den,3.8,2,2421.36,200,4842.72,4642.72,54,56.0,21,55.37,4698.09,Rider A,Late
83,10-01-2024,21,Faisalabad,43610,60,Wallet,Chinese,Desi Square,3.8,5,1281.34,0,6406.7,6406.7,47,54.0,39,137.21,6543.91,Rider D,Late
84,16-08-2024,22,Peshawar,81583,28,Wallet,BBQ,Shinwari Pizza,3.8,2,2472.6,200,4945.2,4745.2,32,34.0,21,77.65,4822.85,Rider F,Late
85,10-12-2024,20,Lahore,82213,51,Wallet,Chinese,Wok & Roll,4.1,1,435.2,250,435.2,185.2,51,54.0,16,81.93,267.13,Rider C,Late
86,31-01-2024,16,Lahore,87192,37,Card,Desi,Haveli Grill,4.4,4,1866.67,100,7466.68,7366.68,55,,28,55.62,7422.3,Rider B,On-Time
87,08-09-2024,19,Faisalabad,46424,55,Card,Pasta,Desi Square,4.7,4,264.25,0,1057.0,1057.0,66,79.0,28,103.58,1160.58,Rider E,Late
88,25-06-2024,17,Rawalpindi,13169,55,Card,Desi,Rajju Biryani,4.0,2,1076.77,150,2153.54,2003.54,54,63.0,38,115.94,2119.48,Rider E,Late
89,11-07-2024,9,Quetta,46017,39,Card,Burger,Quetta Crust,4.0,2,460.79,250,921.58,671.58,30,15.0,10,154.83,826.41,Rider B,On-Time
90,16-06-2024,9,Faisalabad,98203,59,Cash,BBQ,China Hut,3.7,1,1783.95,0,1783.95,1783.95,54,65.0,19,174.77,1958.72,Rider C,Late
91,12-10-2024,13,Karachi,89611,18,Cash,Desi,Szechuan Street,4.8,3,760.77,100,2282.31,2182.31,55,57.0,35,140.01,2322.32,Rider C,Late
92,29-12-2024,20,Multan,49606,53,Cash,Fast Food,Multan Melt,4.5,3,1540.89,100,4622.67,4522.67,56,50.0,36,164.77,4687.44,Rider E,On-Time
93,01-09-2024,18,Karachi,56017,49,Card,Burger,Desi Dastarkhwan,4.2,4,1742.8,250,6971.2,6721.2,52,53.0,19,73.34,6794.54,Rider D,Late
94,12-12-2024,19,Karachi,84018,40,Card,Pasta,Khi Slice,4.4,4,2463.31,250,9853.24,9603.24,40,46.0,28,51.0,9654.24,Rider A,Late
95,14-07-2024,12,Karachi,12862,19,Cash,Burger,Khi Slice,3.8,5,903.48,150,4517.4,4367.4,37,60.0,32,81.19,4448.59,Rider A,Late
96,23-05-2024,12,Multan,89678,39,Wallet,Pizza,BBQ Multan,4.6,2,1796.21,0,3592.42,3592.42,37,18.0,25,110.09,3702.51,Rider C,On-Time
97,04-04-2024,18,Lahore,42391,68,Card,Sandwich,Wok & Roll,4.1,2,1430.46,150,2860.92,2710.92,32,42.0,11,107.18,2818.1,Rider E,Late
98,09-07-2024,17,Peshawar,98269,33,Card,Burger,Desi Khyber,3.9,4,774.82,200,3099.28,2899.28,40,35.0,28,152.69,3051.97,Rider F,On-Time
99,23-08-2024,10,Quetta,47539,37,Cash,Biryani,Quetta Crust,4.3,4,355.88,0,1423.52,1423.52,54,53.0,22,199.15,1622.67,Rider F,On-Time
100,22-06-2024,10,Faisalabad,20876,58,Cash,Fast Food,Fsd Slice,3.6,5,1979.39,0,9896.95,9896.95,31,28.0,40,181.06,10078.01,Rider E,On-Time
101,12-03-2024,9,Karachi,73593,39,Card,Pasta,BBQ Central,3.7,4,926.69,0,3706.76,3706.76,50,31.0,22,166.9,3873.66,Rider F,On-Time
102,28-07-2024,9,Lahore,59100,32,Cash,Desi,Desi Darbar,5.0,2,2066.73,250,4133.46,3883.46,47,41.0,26,112.36,3995.82,Rider E,On-Time
103,01-01-2024,18,Faisalabad,42344,51,Cash,Burger,BBQ Fsd,4.0,4,295.75,0,1183.0,1183.0,41,35.0,22,150.94,1333.94,Rider B,On-Time
104,04-11-2024,22,Peshawar,63294,58,Card,Fast Food,Desi Khyber,3.7,5,1206.4,0,6032.0,6032.0,38,24.0,17,83.61,6115.61,Rider E,On-Time
105,20-04-2024,19,Karachi,61485,43,Wallet,Sandwich,Biryani Boss,3.5,4,1175.96,0,4703.84,4703.84,43,29.0,41,139.16,4843.0,Rider D,On-Time
106,18-02-2024,21,Lahore,74046,32,Card,Thai,BBQ Fort,3.6,3,2181.36,200,6544.08,6344.08,55,67.0,32,47.34,6391.42,Rider B,Late
107,05-06-2024,15,Quetta,56945,26,Card,Burger,Great Wall Quetta,4.2,2,1369.53,250,2739.06,2489.06,50,22.0,40,123.32,2612.38,Rider B,On-Time
108,21-10-2024,12,Faisalabad,24347,57,Wallet,Sandwich,Desi Square,3.9,1,1394.24,100,1394.24,1294.24,61,72.0,23,118.26,1412.5,Rider A,Late
109,14-09-2024,15,Rawalpindi,53349,64,Wallet,Pizza,Rajju Biryani,4.4,2,2475.62,150,4951.24,4801.24,36,28.0,31,143.57,4944.81,Rider B,On-Time
110,25-05-2024,13,Rawalpindi,89127,38,Card,Fast Food,Desi Junction,3.8,4,1825.43,50,7301.72,7251.72,57,63.0,40,127.64,7379.36,Rider D,Late
111,08-12-2024,19,Quetta,90202,33,Wallet,Pizza,Desi Quetta,4.2,1,1393.83,150,1393.83,1243.83,35,39.0,17,159.41,1403.24,Rider B,Late
112,27-02-2024,15,Islamabad,87262,67,Card,Fast Food,Capital Biryani,3.9,5,1850.93,0,9254.65,9254.65,35,23.0,19,103.6,9358.25,Rider B,On-Time
113,07-03-2024,9,Faisalabad,70715,20,Wallet,Fast Food,China Hut,4.2,5,517.83,0,2589.15,2589.15,34,38.0,41,61.16,2650.31,Rider D,Late
114,05-06-2024,10,Faisalabad,73929,21,Wallet,Chinese,Karahi King,4.3,5,1699.98,250,8499.9,8249.9,62,83.0,44,83.66,8333.56,Rider B,Late
115,24-05-2024,16,Rawalpindi,68131,65,Wallet,BBQ,Pindi Pizza,4.8,5,647.0,0,3235.0,3235.0,43,66.0,18,169.13,3404.13,Rider B,Late
116,16-01-2024,17,Lahore,82779,30,Card,Fast Food,Haveli Grill,4.0,5,905.31,150,4526.55,4376.55,55,46.0,17,135.67,4512.22,Rider E,On-Time
117,29-07-2024,15,Karachi,98961,66,Card,Sandwich,Biryani Boss,4.6,2,587.1,200,1174.2,974.2,49,46.0,37,46.29,1020.49,Rider D,On-Time
118,04-06-2024,13,Faisalabad,72468,63,Wallet,Pizza,China Hut,4.5,4,714.47,50,2857.88,2807.88,41,34.0,14,150.13,2958.01,Rider B,On-Time
119,18-11-2024,13,Peshawar,90776,28,Cash,Chinese,Shinwari Pizza,4.0,4,333.58,100,1334.32,1234.32,44,64.0,43,130.36,1364.68,Rider C,Late
120,04-03-2024,16,Quetta,93948,66,Cash,Thai,BBQ Quetta,4.9,3,2102.79,100,6308.37,6208.37,66,69.0,17,118.78,6327.15,Rider F,Late
121,03-04-2024,15,Quetta,40030,65,Card,Burger,BBQ Quetta,3.9,1,2036.04,100,2036.04,1936.04,32,54.0,17,42.25,1978.29,Rider B,Late
122,12-07-2024,12,Quetta,49820,52,Cash,Burger,BBQ Quetta,4.1,3,382.98,0,1148.94,1148.94,48,62.0,26,177.94,1326.88,Rider E,Late
123,22-10-2024,19,Multan,16362,44,Card,Chinese,Desi Maza,4.9,4,1945.55,0,7782.2,7782.2,52,55.0,13,114.9,7897.1,Rider B,Late
124,15-07-2024,10,Karachi,81245,31,Card,Fast Food,Szechuan Street,4.5,2,595.68,250,1191.36,941.36,37,47.0,25,103.61,1044.97,Rider B,Late
125,18-04-2024,11,Multan,41729,68,Wallet,Biryani,BBQ Multan,4.2,4,1443.52,0,5774.08,5774.08,53,55.0,21,75.58,5849.66,Rider F,Late
126,16-05-2024,15,Islamabad,20508,27,Wallet,Biryani,Capital Biryani,4.4,4,1430.75,200,5723.0,5523.0,66,83.0,32,45.51,5568.51,Rider C,Late
127,17-02-2024,10,Karachi,88691,62,Wallet,BBQ,Khi Slice,4.2,5,1628.21,0,8141.05,8141.05,32,49.0,30,121.42,8262.47,Rider F,Late
128,03-02-2024,16,Lahore,87624,31,Cash,Pizza,BBQ Fort,4.2,5,2116.73,0,10583.65,10583.65,43,33.0,22,183.05,10766.7,Rider B,On-Time
129,19-03-2024,11,Rawalpindi,80816,62,Cash,Pasta,Smokey Pindi,3.9,5,1130.74,0,5653.7,5653.7,47,44.0,44,103.86,5757.56,Rider E,On-Time
130,09-01-2024,21,Karachi,28553,33,Card,Pasta,Biryani Boss,4.5,4,2168.93,0,8675.72,8675.72,32,46.0,42,139.9,8815.62,Rider A,Late
131,03-07-2024,12,Rawalpindi,95185,46,Card,Thai,Smokey Pindi,3.8,1,1336.45,0,1336.45,1336.45,40,51.0,30,176.04,1512.49,Rider D,Late
132,09-01-2024,19,Rawalpindi,37331,58,Card,Pasta,Wok House,4.6,5,1305.38,50,6526.9,6476.9,39,40.0,14,186.64,6663.54,Rider C,Late
133,23-06-2024,13,Rawalpindi,80885,26,Cash,Thai,Rajju Biryani,4.3,3,1196.65,0,3589.95,3589.95,68,80.0,39,117.06,3707.01,Rider A,Late
134,07-11-2024,20,Quetta,99645,20,Card,Chinese,Desi Quetta,4.9,5,657.23,50,3286.15,3236.15,62,52.0,29,133.44,3369.59,Rider F,On-Time
135,01-11-2024,10,Quetta,19787,24,Wallet,Desi,BBQ Quetta,4.7,3,1249.16,100,3747.48,3647.48,41,15.0,44,45.17,3692.65,Rider A,On-Time
136,08-09-2024,11,Multan,49848,29,Card,Thai,Wok City,4.7,2,1801.56,0,3603.12,3603.12,44,43.0,24,106.2,3709.32,Rider B,On-Time
137,25-08-2024,15,Rawalpindi,13170,60,Cash,Desi,Desi Junction,3.6,2,1009.25,0,2018.5,2018.5,45,41.0,26,153.16,2171.66,Rider C,On-Time
138,16-07-2024,18,Islamabad,18906,19,Wallet,Pizza,Pakhtoon Desi,4.3,3,1614.95,250,4844.85,4594.85,61,62.0,39,53.87,4648.72,Rider B,Late
139,12-12-2024,14,Quetta,93083,66,Wallet,Chinese,Zafran Biryani,3.8,4,1087.72,50,4350.88,4300.88,41,45.0,33,58.25,4359.13,Rider E,Late
140,10-03-2024,23,Karachi,72287,58,Card,Burger,Khi Slice,3.6,4,526.66,0,2106.64,2106.64,69,70.0,20,101.74,2208.38,Rider F,Late
141,17-06-2024,17,Lahore,34805,25,Card,Chinese,Desi Darbar,4.8,3,1200.04,100,3600.12,3500.12,69,36.0,40,51.22,3551.34,Rider D,On-Time
142,25-05-2024,15,Multan,92572,23,Wallet,Desi,Wok City,5.0,4,1426.02,0,5704.08,5704.08,39,42.0,24,108.09,5812.17,Rider C,Late
143,21-08-2024,12,Peshawar,73665,24,Wallet,Sandwich,BBQ Shinwari,4.4,2,940.36,150,1880.72,1730.72,67,62.0,40,40.61,1771.33,Rider B,On-Time
144,04-03-2024,22,Peshawar,65469,19,Cash,Chinese,BBQ Shinwari,4.2,1,529.34,100,529.34,429.34,42,59.0,43,73.68,503.02,Rider F,Late
145,26-08-2024,14,Lahore,58238,45,Wallet,Pizza,Lhr Crust,4.1,4,1891.94,0,7567.76,7567.76,34,47.0,22,160.35,7728.11,Rider B,Late
146,25-04-2024,18,Multan,56751,39,Card,Sandwich,Wok City,3.7,1,2052.53,0,2052.53,2052.53,60,64.0,17,54.16,2106.69,Rider B,Late
147,30-08-2024,12,Quetta,34175,18,Cash,BBQ,Quetta Crust,4.6,4,2202.43,0,8809.72,8809.72,60,67.0,31,79.86,8889.58,Rider B,Late
148,30-06-2024,23,Peshawar,92988,41,Wallet,Sandwich,Shinwari Pizza,4.2,5,593.54,0,2967.7,2967.7,64,51.0,30,68.03,3035.73,Rider F,On-Time
149,25-07-2024,16,Lahore,44825,19,Cash,Biryani,Wok & Roll,4.4,1,1531.36,250,1531.36,1281.36,49,32.0,12,160.82,1442.18,Rider C,On-Time
150,16-07-2024,19,Karachi,31803,25,Cash,Fast Food,Khi Slice,3.5,3,2494.05,50,7482.15,7432.15,35,37.0,35,173.34,7605.49,Rider F,Late
151,05-01-2024,22,Faisalabad,87482,42,Cash,Thai,China Hut,3.6,5,2298.01,0,11490.05,11490.05,30,15.0,12,75.18,11565.23,Rider A,On-Time
152,17-06-2024,21,Multan,62809,36,Card,Biryani,Desi Maza,4.0,4,1131.3,250,4525.2,4275.2,59,55.0,43,133.71,4408.91,Rider C,On-Time
153,21-07-2024,18,Faisalabad,17100,47,Wallet,Sandwich,BBQ Fsd,3.8,4,2375.23,250,9500.92,9250.92,34,41.0,15,126.06,9376.98,Rider F,Late
154,28-04-2024,12,Rawalpindi,30660,28,Cash,Thai,Smokey Pindi,3.7,2,617.58,250,1235.16,985.16,67,77.0,43,118.89,1104.05,Rider D,Late
155,22-06-2024,22,Lahore,55050,36,Wallet,Pizza,Desi Darbar,3.8,3,2193.35,250,6580.05,6330.05,44,43.0,39,181.12,6511.17,Rider E,On-Time
156,14-03-2024,15,Quetta,35273,47,Cash,Fast Food,Great Wall Quetta,4.3,3,2010.02,0,6030.06,6030.06,58,74.0,42,115.82,6145.88,Rider B,Late
157,20-11-2024,15,Rawalpindi,96126,51,Card,Pizza,Rajju Biryani,4.7,1,2405.65,250,2405.65,2155.65,38,41.0,40,56.99,2212.64,Rider B,Late
